,obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC,reported
846,Cl* NGC 188 SMV 11010,304209,2008AJ....135.2264G,13.581847523489998,85.15295276272,2020yCat.1350....0G,0.4639,0.0210999995470047,2020yCat.1350....0G,-6.099,-2.506,3.0,2020yCat.1350....0G,-45.55,,2008AJ....135.2264G,Gaia EDR3 573749326566418432|TIC 461620549|Cl* NGC  188    SMV   11010|2MASS J00541959+8509105|Cl* NGC  188    DGV     386|Cl* NGC  188    PKM    6203|Cl* NGC  188    UMK     221|Gaia DR2 573749326566418432,573749326566418432,5.737493265664184e+17,461620549.0,1
847,Cl* NGC 188 DGV 322,304306,2008AJ....135.2264G,8.196256039200001,85.0678812426,2020yCat.1350....0G,0.7203,0.0218000002205371,2020yCat.1350....0G,-7.782,-1.825,3.0,2020yCat.1350....0G,-61.94,,2008AJ....135.2264G,Gaia EDR3 573571961598667648|TIC 461595495|2MASS J00324710+8504043|Cl* NGC  188    DGV     322|Cl* NGC  188    PKM    7489|Cl* NGC  188    UMK      25|Cl* NGC  188    SMV    2067|Gaia DR2 573571961598667648,573571961598667648,5.7357196159866765e+17,461595495.0,1
850,Cl* NGC 188 PKM 8222,3741187,2008AJ....135.2264G,10.468855058870002,84.8541205145,2020yCat.1350....0G,0.3735,0.0337999984622001,2020yCat.1350....0G,-2.521,0.284,3.0,2020yCat.1350....0G,-14.13,,2008AJ....135.2264G,Gaia EDR3 573554025815286016|TIC 461598978|Cl* NGC  188    PKM    8222|Cl* NGC  188    SMV    5230|2MASS J00415255+8451147|Gaia DR2 573554025815286016,573554025815286016,5.73554025815286e+17,461598978.0,1
854,Cl* NGC 188 DGV 106,304379,2008AJ....135.2264G,11.41226276388,84.95558766132,2020yCat.1350....0G,0.7083,0.0176999997347593,2020yCat.1350....0G,5.558,-3.164,3.0,2020yCat.1350....0G,-25.54,,2008AJ....135.2264G,Gaia EDR3 573556534076168192|TIC 461600957|2MASS J00453887+8457199|Cl* NGC  188    DGV     106|Cl* NGC  188    PKM    8472|Cl* NGC  188    SMV    7039|Gaia DR2 573556534076168192,573556534076168192,5.735565340761682e+17,461600957.0,1
859,Cl* NGC 188 DGV 1901,303579,2008AJ....135.2264G,8.43062169704,85.59698028868,2020yCat.1350....0G,0.6002,0.0220999997109174,2020yCat.1350....0G,-7.477,5.572,3.0,2020yCat.1350....0G,-77.79,,2008AJ....135.2264G,Gaia EDR3 573985137451264768|TIC 461595749|2MASS J00334334+8535493|Cl* NGC  188    DGV    1901|Cl* NGC  188    PKM     503|Cl* NGC  188    SMV    2871|Gaia DR2 573985137451264768,573985137451264768,5.739851374512648e+17,461595749.0,1
862,Cl* NGC 188 DGV 1593,303755,2008AJ....135.2264G,8.55456457196,85.38293292374,2020yCat.1350....0G,0.546,0.0148000000044703,2020yCat.1350....0G,1.578,1.655,3.0,2020yCat.1350....0G,-37.05,,2008AJ....135.2264G,Gaia EDR3 573958474294346240|TIC 461595652|2MASS J00341308+8522587|Cl* NGC  188    DGV    1593|Cl* NGC  188    PKM    3087|Cl* NGC  188    UMK      30|Cl* NGC  188    SMV    2807|Gaia DR2 573958474294346240,573958474294346240,5.7395847429434624e+17,461595652.0,1
863,Cl* NGC 188 MT 25,3739081,2008AJ....135.2264G,9.01472780323,85.24610200097,2020yCat.1350....0G,0.5513,0.0118000004440546,2020yCat.1350....0G,3.308,4.009,3.0,2020yCat.1350....0G,-112.64,0.3100000023841858,2018yCat.1345....0G,Gaia EDR3 573948677471649536|TIC 461597417|Cl* NGC  188     MT      25|Cl* NGC  188    SMV    3282|Cl* NGC  188    UMK      36|Cl* NGC  188    PKM    3300|Cl* NGC  188    DGV     988|2MASS J00360358+8514459|TYC 4619-966-1|Gaia DR1 573948677471649536|Gaia DR2 573948677471649536,573948677471649536,5.7394867747164954e+17,461597417.0,1
864,Cl* NGC 188 DGV 1913,303563,2008AJ....135.2264G,7.589192373419998,85.49235479505,2020yCat.1350....0G,0.4376,0.0118000004440546,2020yCat.1350....0G,-0.778,3.479,3.0,2020yCat.1350....0G,-74.64,,2008AJ....135.2264G,Gaia EDR3 573960329720183936|TIC 461595704|2MASS J00302142+8529325|Cl* NGC  188    DGV    1913|Cl* NGC  188    PKM     216|Cl* NGC  188    SMV    1787|Gaia DR2 573960329720183936,573960329720183936,5.7396032972018394e+17,461595704.0,1
865,Cl* NGC 188 DGV 1149,303708,2008AJ....135.2264G,6.48847862415,85.24315953611,2020yCat.1350....0G,0.5596,0.0188999995589256,2020yCat.1350....0G,3.167,1.705,3.0,2020yCat.1350....0G,-20.4,,2008AJ....135.2264G,Gaia EDR3 573622466115543040|TIC 461593858|2MASS J00255724+8514352|Cl* NGC  188    DGV    1149|Cl* NGC  188    PKM    2719|Cl* NGC  188    SMV     415|Gaia DR2 573622466115543040,573622466115543040,5.7362246611554304e+17,461593858.0,1
868,Cl* NGC 188 DGV 1599,303752,2008AJ....135.2264G,8.376948055120002,85.41491791788,2020yCat.1350....0G,0.7268,0.0161000005900859,2020yCat.1350....0G,0.602,1.034,3.0,2020yCat.1350....0G,-21.72,,2008AJ....135.2264G,Gaia EDR3 573959092769626112|TIC 461595664|2MASS J00333040+8524538|Cl* NGC  188    DGV    1599|Cl* NGC  188    PKM    3072|Cl* NGC  188    SMV    2628|Gaia DR2 573959092769626112,573959092769626112,5.739590927696261e+17,461595664.0,1
869,NGC 188 2025,303852,2008AJ....135.2264G,10.74520668165,85.22079011499,2020yCat.1350....0G,0.2565,0.0219999998807907,2020yCat.1350....0G,0.688,0.08,3.0,2020yCat.1350....0G,-4.89,,2008AJ....135.2264G,Gaia EDR3 573936174824234624|TIC 461599238|2MASS J00425882+8513147|Cl* NGC  188    DGV     482|Cl* NGC  188    PKM    4351|Cl* NGC  188    SMV    5855|GEN# +2.01882025|NGC   188  2025|UBV M  30002|Gaia DR2 573936174824234624,573936174824234624,5.739361748242346e+17,461599238.0,1
873,V* V790 Cep,303549,2008AJ....135.2264G,15.460674977249996,85.40007859509,2020yCat.1350....0G,0.6353,0.276199996471405,2020yCat.1350....0G,-9.362,8.395,3.0,2020yCat.1350....0G,-40.4,5.190000057220459,2018yCat.1345....0G,Gaia EDR3 573782758592620288|TIC 461625928|2MASS J01015068+8524003|Cl* NGC  188    DGV    1221|Cl* NGC  188    PKM    6571|Cl* NGC  188    XZD       4|Cl* NGC  188    SMV   12475|Cl* NGC  188     KS V15|V* V790 Cep|Gaia DR2 573782758591810304,573782758592620288,5.737827585918103e+17,461625928.0,1
875,Cl* NGC 188 SMV 12876,304261,2008AJ....135.2264G,15.973842238539998,85.35191502229,2020yCat.1350....0G,0.6242,0.0201999992132186,2020yCat.1350....0G,-3.032,2.74,3.0,2020yCat.1350....0G,-13.02,,2008AJ....135.2264G,Gaia EDR3 573779425697198464|TIC 461627795|Cl* NGC  188    SMV   12876|2MASS J01035370+8521069|Cl* NGC  188    DGV    1197|Cl* NGC  188    PKM    6731|Gaia DR2 573779425697198464,573779425697198464,5.7377942569719846e+17,461627795.0,1
880,Cl* NGC 188 DGV 205,304323,2008AJ....135.2264G,8.341010175,84.99089798143,2020yCat.1350....0G,0.5007,0.0211999993771314,2020yCat.1350....0G,-0.729,2.58,3.0,2020yCat.1350....0G,-13.13,,2008AJ....135.2264G,Gaia EDR3 573568422545625472|TIC 461595466|2MASS J00332179+8459272|Cl* NGC  188    DGV     205|Cl* NGC  188    PKM    7617|Cl* NGC  188    SMV    2170|Gaia DR2 573568422545625472,573568422545625472,5.735684225456255e+17,461595466.0,1
884,Cl* NGC 188 DGV 1868,303601,2008AJ....135.2264G,10.01279119027,85.56866825827,2020yCat.1350....0G,0.6654,0.0146000003442168,2020yCat.1350....0G,-2.688,0.43,3.0,2020yCat.1350....0G,-89.89,,2008AJ....135.2264G,Gaia EDR3 573982079434563200|TIC 461599476|2MASS J00400310+8534071|Cl* NGC  188    DGV    1868|Cl* NGC  188    PKM     854|Cl* NGC  188    SMV    4925|Gaia DR2 573982079434563200,573982079434563200,5.739820794345632e+17,461599476.0,2
885,Cl* NGC 188 DGV 1614,303604,2008AJ....135.2264G,10.3469039427,85.47093755237,2020yCat.1350....0G,0.5327,0.0375000014901161,2020yCat.1350....0G,-10.871,5.368,3.0,2020yCat.1350....0G,-124.58,,2008AJ....135.2264G,Gaia EDR3 573980567606101632|TIC 461599440|2MASS J00412332+8528153|Cl* NGC  188    DGV    1614|Cl* NGC  188    PKM     894|Cl* NGC  188     MT      45|Cl* NGC  188    SMV    5335|Gaia DR2 573980567606101632,573980567606101632,5.739805676061016e+17,461599440.0,1
886,Cl* NGC 188 PKM 1526,4926455,2008AJ....135.2264G,13.158318134170004,85.72069963813,2020yCat.1350....0G,0.4593,0.033500000834465,2020yCat.1350....0G,-1.678,2.082,3.0,2020yCat.1350....0G,-46.43,,2008AJ....135.2264G,Gaia EDR3 574072686064588288|TIC 461619070|Cl* NGC  188    PKM    1526|Cl* NGC  188    SMV   10150|2MASS J00523803+8543145|Gaia DR2 574072686064588288,574072686064588288,5.740726860645883e+17,461619070.0,1
888,Cl* NGC 188 DGV 1471,303835,2008AJ....135.2264G,10.923043651409998,85.40751092294,2020yCat.1350....0G,0.5602,0.0186999998986721,2020yCat.1350....0G,8.372,-0.257,3.0,2020yCat.1350....0G,-26.38,,2008AJ....135.2264G,Gaia EDR3 573945000979873152|TIC 461599403|2MASS J00434159+8524269|Cl* NGC  188    DGV    1471|Cl* NGC  188    PKM    4182|Cl* NGC  188    SMV    6252|Gaia DR2 573945000979873152,573945000979873152,5.7394500097987315e+17,461599403.0,1
889,Cl* NGC 188 SMV 11670,304220,2008AJ....135.2264G,14.358997753660002,85.3433310057,2020yCat.1350....0G,0.4687,0.0184000004082918,2020yCat.1350....0G,-5.029,0.317,3.0,2020yCat.1350....0G,-34.12,,2008AJ....135.2264G,Gaia EDR3 573777157954464384|TIC 461620685|Cl* NGC  188    SMV   11670|2MASS J00572612+8520360|Cl* NGC  188    DGV    1261|Cl* NGC  188    PKM    6279|Gaia DR2 573777157954464384,573777157954464384,5.737771579544644e+17,461620685.0,1
895,Cl* NGC 188 DGV 1571,303778,2008AJ....135.2264G,8.96581725972,85.28770374462,2020yCat.1350....0G,0.3007,0.0148999998345971,2020yCat.1350....0G,3.731,9.247,3.0,2020yCat.1350....0G,-94.6,,2008AJ....135.2264G,Gaia EDR3 573949197165024768|TIC 461597442|2MASS J00355185+8517156|Cl* NGC  188    DGV    1571|Cl* NGC  188    PKM    3272|Cl* NGC  188    SMV    3244|Gaia DR2 573949197165024768,573949197165024768,5.739491971650248e+17,461597442.0,1
896,NGC 188 3039,304125,2008AJ....135.2264G,12.31030378309,85.14179722807,2020yCat.1350....0G,0.5863,0.0187999997287988,2020yCat.1350....0G,0.113,0.764,3.0,2020yCat.1350....0G,-13.65,,2008AJ....135.2264G,Gaia EDR3 573937446134602752|TIC 461618563|2MASS J00491448+8508303|Cl* NGC  188    DGV     514|Cl* NGC  188    PKM    5506|Cl* NGC  188    UMK     176|Cl* NGC  188    SMV    8904|NGC   188  3039|Gaia DR2 573937446134602752,573937446134602752,5.7393744613460275e+17,461618563.0,1
897,Cl* NGC 188 DGV 388,304207,2008AJ....135.2264G,13.450585032919998,85.17966753386,2020yCat.1350....0G,0.6438,0.0142000000923872,2020yCat.1350....0G,14.838,-1.859,3.0,2020yCat.1350....0G,-51.07,,2008AJ....135.2264G,Gaia EDR3 573938511286486912|TIC 461620567|2MASS J00534808+8510467|Cl* NGC  188    DGV     388|Cl* NGC  188    PKM    6193|Cl* NGC  188    UMK     216|Cl* NGC  188    SMV   10828|Gaia DR2 573938511286486912,573938511286486912,5.739385112864869e+17,461620567.0,1
903,Cl* NGC 188 PKM 230,4923243,2008AJ....135.2264G,8.45385530637,85.72476571655,2020yCat.1350....0G,0.413,0.0299999993294477,2020yCat.1350....0G,-3.329,0.299,3.0,2020yCat.1350....0G,-46.39,,2008AJ....135.2264G,Gaia EDR3 573988504705592320|TIC 461595813|Cl* NGC  188    PKM     230|Cl* NGC  188    SMV    2995|2MASS J00334890+8543293|Gaia DR2 573988504705592320,573988504705592320,5.739885047055923e+17,461595813.0,1
904,Cl* NGC 188 DGV 1905,303566,2008AJ....135.2264G,8.184260478629998,85.55208941117,2020yCat.1350....0G,0.6243,0.0210999995470047,2020yCat.1350....0G,4.19,2.321,3.0,2020yCat.1350....0G,27.36,,2008AJ....135.2264G,Gaia EDR3 573962253865520768|TIC 461595734|2MASS J00324420+8533075|Cl* NGC  188    DGV    1905|Cl* NGC  188    PKM     290|Cl* NGC  188    SMV    2507|Gaia DR2 573962253865520768,573962253865520768,5.739622538655208e+17,461595734.0,1
905,Cl* NGC 188 DGV 1872,303575,2008AJ....135.2264G,9.10878377919,85.54503183293,2020yCat.1350....0G,0.5215,0.0229000002145767,2020yCat.1350....0G,-1.488,0.229,3.0,2020yCat.1350....0G,-32.35,,2008AJ....135.2264G,Gaia EDR3 573984690774681472|TIC 461597579|2MASS J00362617+8532421|Cl* NGC  188    DGV    1872|Cl* NGC  188    PKM     450|Cl* NGC  188    SMV    3693|Gaia DR2 573984690774681472,573984690774681472,5.739846907746815e+17,461597579.0,2
907,Cl* NGC 188 DGV 1511,304063,2008AJ....135.2264G,12.33236919144,85.3854105498,2020yCat.1350....0G,0.4525,0.015599999576807,2020yCat.1350....0G,-0.16,1.446,3.0,2020yCat.1350....0G,-26.52,,2008AJ....135.2264G,Gaia EDR3 573967236027651584|TIC 461618872|2MASS J00491971+8523074|Cl* NGC  188    DGV    1511|Cl* NGC  188    PKM    5239|Cl* NGC  188    SMV    8900|Gaia DR2 573967236027651584,573967236027651584,5.739672360276516e+17,461618872.0,1
909,Cl* NGC 188 PKM 9286,4927270,2008AJ....135.2264G,14.137034614789998,84.9966683976,2020yCat.1350....0G,0.4653,0.0432000011205673,2020yCat.1350....0G,-0.406,0.589,3.0,2020yCat.1350....0G,-42.95,,2008AJ....135.2264G,Gaia EDR3 573741595625319552|TIC 461620441|Cl* NGC  188    PKM    9286|Cl* NGC  188    SMV   11624|2MASS J00563282+8459480|Gaia DR2 573741595625319552,573741595625319552,5.7374159562531955e+17,461620441.0,1
912,Cl* NGC 188 DGV 1804,303631,2008AJ....135.2264G,13.088724043770002,85.55643775144,2020yCat.1350....0G,0.5601,0.0269000008702278,2020yCat.1350....0G,1.935,-1.272,3.0,2020yCat.1350....0G,-6.73,,2008AJ....135.2264G,Gaia EDR3 573973077183331840|TIC 461618978|2MASS J00522128+8533232|Cl* NGC  188    DGV    1804|Cl* NGC  188    PKM    1598|Cl* NGC  188    SMV   10111|Gaia DR2 573973077183331840,573973077183331840,5.7397307718333184e+17,461618978.0,1
913,Cl* NGC 188 PKM 2225,4928019,2008AJ....135.2264G,15.824129153370004,85.46531915528,2020yCat.1350....0G,0.4429,0.0381000004708766,2020yCat.1350....0G,-1.874,-0.138,3.0,2020yCat.1350....0G,-43.47,,2008AJ....135.2264G,Gaia EDR3 573784820176101760|TIC 461627866|Cl* NGC  188    PKM    2225|Cl* NGC  188    SMV   12706|2MASS J01031780+8527551|Gaia DR2 573784820176101760,573784820176101760,5.7378482017610176e+17,461627866.0,1
914,Cl* NGC 188 DGV 981,303799,2008AJ....135.2264G,9.40225884328,85.24127457947,2020yCat.1350....0G,0.6162,0.0148999998345971,2020yCat.1350....0G,-4.116,7.664,3.0,2020yCat.1350....0G,-6.96,,2008AJ....135.2264G,Gaia EDR3 573948509970281728|TIC 461597411|2MASS J00373657+8514285|Cl* NGC  188    DGV     981|Cl* NGC  188    PKM    3796|Cl* NGC  188    UMK      44|Cl* NGC  188    SMV    3851|Gaia DR2 573948509970281728,573948509970281728,5.739485099702817e+17,461597411.0,1
919,Cl* NGC 188 PKM 7354,4922220,2008AJ....135.2264G,6.945635923329999,85.06960730031,2020yCat.1350....0G,0.4982,0.0355999991297721,2020yCat.1350....0G,-2.591,0.961,3.0,2020yCat.1350....0G,-45.1,,2008AJ....135.2264G,Gaia EDR3 573572648793303808|TIC 461593767|Cl* NGC  188    PKM    7354|Cl* NGC  188    SMV     676|2MASS J00274700+8504105|Gaia DR2 573572648793303808,573572648793303808,5.735726487933038e+17,461593767.0,1
925,Cl* NGC 188 SMV 11998,304232,2008AJ....135.2264G,14.825813414300002,85.40753987885,2020yCat.1350....0G,0.6374,0.0147000001743435,2020yCat.1350....0G,-7.425,-1.5,3.0,2020yCat.1350....0G,-47.1,,2008AJ....135.2264G,Gaia EDR3 573783514506051584|TIC 461625937|Cl* NGC  188    SMV   11998|2MASS J00591819+8524271|Cl* NGC  188    DGV    1307|Cl* NGC  188    PKM    6405|Gaia DR2 573783514506051584,573783514506051584,5.737835145060516e+17,461625937.0,1
928,Cl* NGC 188 PKM 770,4924531,2008AJ....135.2264G,10.379366337180002,85.71214882466,2020yCat.1350....0G,0.4334,0.0212999992072582,2020yCat.1350....0G,-3.528,2.451,3.0,2020yCat.1350....0G,4.25,,2008AJ....135.2264G,Gaia EDR3 573990321475669632|TIC 461599543|Cl* NGC  188    PKM     770|Cl* NGC  188    SMV    5511|2MASS J00413106+8542436|Gaia DR2 573990321475669632,573990321475669632,5.739903214756696e+17,461599543.0,1
930,Cl* NGC 188 PKM 1074,4925103,2008AJ....135.2264G,11.18875959119,85.67220957886,2020yCat.1350....0G,0.5009,0.0222999993711709,2020yCat.1350....0G,-3.129,2.677,3.0,2020yCat.1350....0G,-44.9,,2008AJ....135.2264G,Gaia EDR3 573989604217245824|TIC 461601626|Cl* NGC  188    PKM    1074|Cl* NGC  188    SMV    6770|2MASS J00444523+8540199|Gaia DR2 573989604217245824,573989604217245824,5.739896042172458e+17,461601626.0,1
933,NGC 188 3154,303820,2008AJ....135.2264G,10.37034774798,85.26769175909,2020yCat.1350....0G,0.3072,0.0350000001490116,2020yCat.1350....0G,-5.734,0.688,3.0,2020yCat.1350....0G,-98.81,,2008AJ....135.2264G,Gaia EDR3 573953900151958400|TIC 461599281|2MASS J00412898+8516035|Cl* NGC  188    PKM    4045|Cl* NGC  188    SMV    5267|NGC   188  3154|Gaia DR2 573953900151958400,573953900151958400,5.739539001519584e+17,461599281.0,1
936,Cl* NGC 188 DGV 1816,303614,2008AJ....135.2264G,11.47657279491,85.49181469831,2020yCat.1350....0G,0.5613,0.194700002670288,2020yCat.1350....0G,7.701,-2.447,3.0,2020yCat.1350....0G,-27.95,,2008AJ....135.2264G,Gaia EDR3 573968954014532864|TIC 461601551|2MASS J00455433+8529303|Cl* NGC  188    DGV    1816|Cl* NGC  188    PKM    1168|Cl* NGC  188     MT      51|Cl* NGC  188    SMV    7240|Gaia DR2 573968954014532864,573968954014532864,5.7396895401453286e+17,461601551.0,1
940,Cl* NGC 188 DGV 197,304337,2008AJ....135.2264G,8.91716346899,84.94471505731,2020yCat.1350....0G,0.3119,0.0131999999284744,2020yCat.1350....0G,7.635,6.168,3.0,2020yCat.1350....0G,-140.77,2.549999952316284,2018yCat.1345....0G,Gaia EDR3 573567975869037696|TIC 461597220|2MASS J00354011+8456409|Cl* NGC  188    DGV     197|Cl* NGC  188    PKM    7791|Cl* NGC  188    SMV    2924|Gaia DR2 573567975869037696,573567975869037696,5.735679758690377e+17,461597220.0,1
941,Cl* NGC 188 PKM 7831,4923404,2008AJ....135.2264G,9.22555268293,84.85688716246,2020yCat.1350....0G,0.5219,0.025900000706315,2020yCat.1350....0G,13.565,3.319,3.0,2020yCat.1350....0G,12.14,,2008AJ....135.2264G,Gaia EDR3 573560485446092544|TIC 461597162|Cl* NGC  188    PKM    7831|Cl* NGC  188    SMV    3272|2MASS J00365411+8451247|Gaia DR2 573560485446092544,573560485446092544,5.7356048544609254e+17,461597162.0,1
948,Cl* NGC 188 DGV 1668,303697,2008AJ....135.2264G,6.35898607103,85.28606681143,2020yCat.1350....0G,0.5373,0.0160000007599592,2020yCat.1350....0G,-2.052,2.977,3.0,2020yCat.1350....0G,-29.52,,2008AJ....135.2264G,Gaia EDR3 573998125432263040|TIC 461592128|2MASS J00252625+8517098|Cl* NGC  188    DGV    1668|Cl* NGC  188    PKM    2564|Cl* NGC  188    SMV     368|Gaia DR2 573998125432263040,573998125432263040,5.7399812543226304e+17,461592128.0,1
957,Cl* NGC 188 DGV 1876,303571,2008AJ....135.2264G,8.87651318789,85.56411936087,2020yCat.1350....0G,0.7204,0.0184000004082918,2020yCat.1350....0G,0.591,1.087,3.0,2020yCat.1350....0G,-6.66,,2008AJ....135.2264G,Gaia EDR3 573984862573367424|TIC 461597594|2MASS J00353043+8533508|Cl* NGC  188    DGV    1876|Cl* NGC  188    PKM     430|Cl* NGC  188    SMV    3376|Gaia DR2 573984862573367424,573984862573367424,5.739848625733674e+17,461597594.0,1
958,Cl* NGC 188 DGV 1873,303576,2008AJ....135.2264G,8.75912664771,85.52181104387,2020yCat.1350....0G,0.5957,0.0160000007599592,2020yCat.1350....0G,5.093,-1.043,3.0,2020yCat.1350....0G,-59.4,,2008AJ....135.2264G,Gaia EDR3 573961223073380224|TIC 461597568|2MASS J00350228+8531184|Cl* NGC  188    DGV    1873|Cl* NGC  188    PKM     460|Cl* NGC  188    SMV    3175|Gaia DR2 573961223073380224,573961223073380224,5.739612230733802e+17,461597568.0,1
966,Cl* NGC 188 DGV 1518,304060,2008AJ....135.2264G,12.326191253409997,85.43717499283,2020yCat.1350....0G,0.5784,0.0175999999046325,2020yCat.1350....0G,-0.715,2.916,3.0,2020yCat.1350....0G,-74.16,,2008AJ....135.2264G,Gaia EDR3 573967854502923648|TIC 461618925|2MASS J00491827+8526137|Cl* NGC  188    DGV    1518|Cl* NGC  188    PKM    5195|Cl* NGC  188    SMV    8884|Gaia DR2 573967854502923648,573967854502923648,5.7396785450292365e+17,461618925.0,1
968,Cl* NGC 188 PKM 7322,4922051,2008AJ....135.2264G,6.54085174674,85.05127120345,2020yCat.1350....0G,0.707,0.0340000018477439,2020yCat.1350....0G,0.073,-2.553,3.0,2020yCat.1350....0G,-75.01,,2008AJ....135.2264G,Gaia EDR3 573613708680655232|TIC 461593756|Cl* NGC  188    PKM    7322|Cl* NGC  188    SMV     331|2MASS J00260983+8503044|Gaia DR2 573613708680655232,573613708680655232,5.736137086806552e+17,461593756.0,1
970,Cl* NGC 188 DGV 198,304336,2008AJ....135.2264G,8.942905616040001,84.95397926775,2020yCat.1350....0G,0.4357,0.0161000005900859,2020yCat.1350....0G,-1.846,1.591,3.0,2020yCat.1350....0G,-43.58,,2008AJ....135.2264G,Gaia EDR3 573568078948251136|TIC 461597226|2MASS J00354631+8457143|Cl* NGC  188    DGV     198|Cl* NGC  188    PKM    7782|Cl* NGC  188    SMV    2964|SBC9 3196|Gaia DR2 573568078948251136,573568078948251136,5.7356807894825114e+17,461597226.0,1
973,Cl* NGC 188 DGV 1886,303597,2008AJ....135.2264G,9.8182592087,85.60901906447,2020yCat.1350....0G,0.6847,0.0124000003561377,2020yCat.1350....0G,-1.495,8.139,3.0,2020yCat.1350....0G,-44.73,2.039999961853028,2018yCat.1345....0G,Gaia EDR3 573983866140947712|TIC 461599495|2MASS J00391641+8536324|Cl* NGC  188    DGV    1886|Cl* NGC  188    PKM     827|Cl* NGC  188    SMV    4676|Gaia DR2 573983866140947712,573983866140947712,5.739838661409477e+17,461599495.0,1
975,Cl* NGC 188 DGV 1843,303605,2008AJ....135.2264G,10.97713758565,85.59153119247,2020yCat.1350....0G,0.6829,0.0137999998405575,2020yCat.1350....0G,4.893,1.067,3.0,2020yCat.1350....0G,1.79,,2008AJ....135.2264G,Gaia EDR3 573983041507236224|TIC 461601598|2MASS J00435449+8535293|Cl* NGC  188    DGV    1843|Cl* NGC  188    PKM     966|Cl* NGC  188    SMV    6392|Gaia DR2 573983041507236224,573983041507236224,5.739830415072362e+17,461601598.0,1
977,Cl* NGC 188 PKM 1184,4925843,2008AJ....135.2264G,12.28198932821,85.76913794667,2020yCat.1350....0G,0.6362,0.0201999992132186,2020yCat.1350....0G,-2.825,-3.25,3.0,2020yCat.1350....0G,-1.23,,2008AJ....135.2264G,Gaia EDR3 574073785576208512|TIC 461619095|Cl* NGC  188    PKM    1184|Cl* NGC  188    SMV    8723|2MASS J00490763+8546089|Gaia DR2 574073785576208512,574073785576208512,5.740737855762085e+17,461619095.0,1
981,Cl* NGC 188 DGV 1607,303751,2008AJ....135.2264G,8.548046709260001,85.43639754943,2020yCat.1350....0G,0.4135,0.0104999998584389,2020yCat.1350....0G,-2.211,-3.035,3.0,2020yCat.1350....0G,-41.9,0.2000000029802322,2018AJ....156..142D,Gaia EDR3 573959230208575872|TIC 461595676|2MASS J00341150+8526111|Cl* NGC  188    DGV    1607|Cl* NGC  188    PKM    3062|Cl* NGC  188    SMV    2862|Cl* NGC  188     MT      35|Gaia DR2 573959230208575872,573959230208575872,5.739592302085759e+17,461595676.0,3
982,Cl* NGC 188 PKM 6953,4928395,2008AJ....135.2264G,17.008411443799996,85.38422485598,2020yCat.1350....0G,0.4851,0.0368000008165836,2020yCat.1350....0G,-1.712,0.705,3.0,2020yCat.1350....0G,-65.59,,2008AJ....135.2264G,Gaia EDR3 573780486552572672|TIC 461632036|Cl* NGC  188    PKM    6953|Cl* NGC  188    SMV   13502|2MASS J01080211+8523033|Gaia DR2 573780486552572672,573780486552572672,5.737804865525727e+17,461632036.0,1
989,Cl* NGC 188 DGV 871,303788,2008AJ....135.2264G,9.25077383159,85.14238411822,2020yCat.1350....0G,0.6713,0.016499999910593,2020yCat.1350....0G,4.639,-2.205,3.0,2020yCat.1350....0G,-16.15,,2008AJ....135.2264G,Gaia EDR3 573946310947082112|Cl* NGC  188    DGV     871|Cl* NGC  188    PKM    3622|Cl* NGC  188    UMK      39|Cl* NGC  188    SMV    3547|Gaia DR2 573946310947082112,573946310947082112,5.739463109470821e+17,,1
993,Cl* NGC 188 DGV 131,304374,2008AJ....135.2264G,10.727780941480002,84.91680104909,2020yCat.1350....0G,0.6709,0.0185000002384185,2020yCat.1350....0G,4.979,-0.045,3.0,2020yCat.1350....0G,-27.18,,2008AJ....135.2264G,Gaia EDR3 573556121759313792|TIC 461599021|2MASS J00425464+8455004|Cl* NGC  188    DGV     131|Cl* NGC  188    PKM    8328|Cl* NGC  188    SMV    5707|Gaia DR2 573556121759313792,573556121759313792,5.735561217593138e+17,461599021.0,1
997,2MASS J00304683+8506596,303156,2011AJ....142...59J,7.69510642503,85.11657143159,2020yCat.1350....0G,0.255,0.0099999997764825,2020yCat.1350....0G,-1.191,-1.046,3.0,2020yCat.1350....0G,-44.0,0.1000000014901161,2018AJ....156..142D,Gaia EDR3 573573817024717696|TIC 461595526|2MASS J00304683+8506596|Cl* NGC  188    DGV    1053|Cl* NGC  188    PKM    3046|Cl* NGC  188    UMK      15|Cl* NGC  188    SMV    1551|GEN# +2.01885015|Gaia DR2 573573817024717696,573573817024717696,5.735738170247177e+17,461595526.0,2
998,2MASS J00283971+8530377,303557,2013AJ....146..133M,7.165364355569999,85.51051922816,2020yCat.1350....0G,0.5676,0.0126000000163912,2020yCat.1350....0G,-2.808,1.452,3.0,2020yCat.1350....0G,-48.9,0.2000000029802322,2018AJ....156..142D,Gaia EDR3 574007333842264960|TIC 461593984|2MASS J00283971+8530377|Cl* NGC  188    DGV    1916|Cl* NGC  188    PKM     117|Cl* NGC  188    SMV    1379|Gaia DR2 574007333842264960,574007333842264960,5.7400733384226496e+17,461593984.0,3
