source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag
2300141938344743680,359.89313238723673,85.17552418606748,0.40129262114233916,0.14742902,1.2350208921308456,0.1432197,0.9790921149691224,0.15211813,19.398308,18.654993,17.8202
2300142762978486272,359.807061656235,85.19673890415056,0.5939965560371442,0.12946175,2.480786411605989,0.12691598,-2.6294016252314054,0.12106743,19.241438,18.33613,17.413353
2300142831697977088,359.9797702876855,85.21615070547048,0.5879358234434848,0.38075542,-14.802000872713615,0.3609305,1.6122878676843024,0.37138528,20.704277,19.920584,18.904068
2300143042152635264,359.9249393612014,85.2308747926161,0.2834723210890593,1.1292479,-2.8394731167600353,1.1659437,-2.4671846255442675,0.9941073,20.720215,20.676477,19.559896
2300143106575898496,359.90652771618096,85.2346896732699,0.5782066816932308,0.24210165,-5.255995669468357,0.25142264,-0.24172347096728486,0.24263269,20.21793,19.411713,18.708126
2300190389873019008,359.8266681206918,85.27515686585684,0.3699059779567817,0.040756498,0.14661437175648637,0.042520218,0.558784369512527,0.044275317,16.929,16.50722,15.927013
2300194513040635392,359.9672581412721,85.35538913265248,0.2914078457257431,1.2409472,-9.5544722428929,1.2808266,11.493419487214474,1.4236465,21.09304,20.776224,19.413204
2300194513041609600,359.7937573244663,85.34429764478952,0.3882918250288272,0.057031553,-2.807230557556083,0.05836395,1.437408969571039,0.06068055,17.61258,17.14863,16.501766
2300194680543267712,359.7287619269027,85.35891208819784,0.30319845970447085,0.18152992,-4.381619964102172,0.19653042,0.1932617847643724,0.19312182,19.928953,19.109507,18.269382
2300194719200037760,359.84879179865464,85.35861154510032,0.7063186465913693,0.04143926,0.12198190882335626,0.04303262,-2.976591969795177,0.05144391,16.898773,16.410297,15.760674
2300195509474015232,359.7064663888645,85.37458012669464,0.5059214274234303,0.02889929,-8.981825611971269,0.030992784,6.915292969895119,0.03285705,16.371801,15.862577,15.191093
2300195539536739328,359.89794775735095,85.38520272883629,0.5235738755748692,0.10180146,-0.654907535639367,0.115799114,4.01262360616695,0.11279756,19.02093,18.217344,17.31878
2300195543833751936,359.93715165090276,85.39148265642352,0.45945903459236864,0.063941196,-7.484505222627249,0.069516316,-1.0243014405359296,0.07137708,18.050188,17.474413,16.749992
2300195543833753344,359.8157820694485,85.37909962511647,0.2681144842367163,0.21467105,-1.9377792069605573,0.22956137,0.08310706367776123,0.2359856,19.901379,19.417511,18.832806
2300195612552072320,359.9191274829555,85.39487747732579,0.7428325288558764,1.7218144,-2.5563131072975502,1.580661,-1.481453405451727,1.4349495,21.425203,20.909441,19.749117
2300195887431131136,359.93635251276805,85.41802602086454,0.3445091767611671,0.062604345,1.4860730466774554,0.07248794,1.1961236871800562,0.07212575,17.944551,17.409678,16.727541
2300207634164662144,359.87505614613974,85.43094261018416,0.4235357801381158,0.13733076,-1.503298954311483,0.15675658,-1.7244316472663779,0.15267916,19.478258,18.735136,17.9212
2300207707181124608,359.88471456927005,85.44540032487404,0.42433065975456274,0.018534573,-1.055376754261289,0.021961397,0.11120209378270457,0.0214882,15.663301,14.938946,14.11796
