obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC
NGC 188 2001,303923,2004PASP..116.1012S,11.34111942449,85.20741170217,2020yCat.1350....0G,0.5214,0.031300000846385956,2020yCat.1350....0G,-2.307,-1.256,3.0,2020yCat.1350....0G,-43.44,,2008AJ....135.2264G,Gaia EDR3 573941053907095936|TIC 461601172|Cl* NGC  188    SMV    6936|2MASS J00452189+8512265|Cl* NGC  188    DGV     642|Cl* NGC  188    PKM    4708|NGC   188  2001|Cl* NGC  188    FTS     206|Gaia DR2 573941053907095936,573941053907095936,573941053907095936,461601172
NGC 188 2024,303079,2004PASP..116.1012S,10.791824321139998,85.2067261946,2020yCat.1350....0G,0.5397,0.019200000911951065,2020yCat.1350....0G,-2.218,-1.106,3.0,2020yCat.1350....0G,-43.12,,2008AJ....135.2264G,Gaia EDR3 573935934306074496|TIC 461599222|2MASS J00431003+8512240|Cl* NGC  188    DGV     612|Cl* NGC  188    PKM    4364|Cl* NGC  188    UMK      70|Cl* NGC  188    SMV    5940|NGC   188  2024|Gaia DR2 573935934306074496,573935934306074496,573935934306074496,461599222
Cl* NGC 188 MT 91,4924785,2004PASP..116.1012S,10.878034729800001,85.19578010304,2020yCat.1350....0G,0.5066,0.04610000178217888,2020yCat.1350....0G,-2.313,-1.079,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573935934306650112|TIC 461599210|Cl* NGC  188     MT      91|Cl* NGC  188    PKM    4374|Cl* NGC  188    SMV    6086|2MASS J00433075+8511446|Gaia DR2 573935934306082432,573935934306650112,573935934306082432,461599210
NGC 188 1157,303921,2004PASP..116.1012S,11.40905897569,85.21193029861,2020yCat.1350....0G,0.6296,0.09399999678134918,2020yCat.1350....0G,-2.409,-1.127,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941083970904448|TIC 461601178|2MASS J00453831+8512425|Cl* NGC  188    PKM    4703|Cl* NGC  188    SMV    7084|NGC   188  1157|Cl* NGC  188    FTS     513|Gaia DR2 573941083970904448,573941083970904448,573941083970904448,461601178
NGC 188 1128,303897,2004PASP..116.1012S,11.42454766759,85.25984534311,2020yCat.1350....0G,0.5485,0.04769999906420708,2020yCat.1350....0G,-2.565,-0.937,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941603662878080|TIC 461601306|2MASS J00454191+8515352|Cl* NGC  188    PKM    4624|Cl* NGC  188    SMV    7118|NGC   188  1128|Cl* NGC  188    FTS     387|Gaia DR2 573941603662878080,573941603662878080,573941603662878080,461601306
Cl* NGC 188 WV 18,303516,2004PASP..116.1012S,11.45035654206,85.16200630129,2020yCat.1350....0G,0.4293,0.05900000035762787,2020yCat.1350....0G,-2.306,-0.869,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573935040952906240|TIC 461601099|2MASS J00454808+8509431|Cl* NGC  188     WV      18|Cl* NGC  188    PKM    4751|Cl* NGC  188    SMV    7142|Cl* NGC  188     MT     149|Cl* NGC  188    FTS     428|Gaia DR2 573935040952906240,573935040952906240,573935040952906240,461601099
Cl* NGC 188 DGV 1557,303794,2004PASP..116.1012S,9.66461259614,85.38002846281,2020yCat.1350....0G,0.5218,0.022299999371170998,2020yCat.1350....0G,-2.372,-1.117,3.0,2020yCat.1350....0G,-43.17,,2008AJ....135.2264G,Gaia EDR3 573955691155545600|TIC 461597495|2MASS J00383957+8522481|Cl* NGC  188    DGV    1557|Cl* NGC  188    PKM    3701|Cl* NGC  188    SMV    4317|Gaia DR2 573955691155545600,573955691155545600,573955691155545600,461597495
V* V769 Cep,303895,2004PASP..116.1012S,11.21739693845,85.26513345106,2020yCat.1350....0G,0.5218,0.0272000003606081,2020yCat.1350....0G,-2.243,-1.211,3.0,2020yCat.1350....0G,-42.43,,2008AJ....135.2264G,Gaia EDR3 573942359577117696|TIC 461601321|2MASS J00445219+8515543|Cl* NGC  188    DGV     621|Cl* NGC  188    PKM    4618|Cl* NGC  188    SMV    6724|NGC   188  1053|Cl* NGC  188    FTS     217|Cl* NGC  188     KS V40|V* V769 Cep|SBC9 3137|Gaia DR2 573942359577117696,573942359577117696,573942359577117696,461601321
Cl* NGC 188 PKM 4464,4925152,2004PASP..116.1012S,11.293726496910002,85.41396990556,2020yCat.1350....0G,0.5082,0.0357000008225441,2020yCat.1350....0G,-2.123,-1.036,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573968228163024128|TIC 461601507|Cl* NGC  188    PKM    4464|Cl* NGC  188    SMV    6894|2MASS J00451049+8524501|Gaia DR2 573968228163024128,573968228163024128,573968228163024128,461601507
NGC 188 1037,303983,2004PASP..116.1012S,11.66059392224,85.27248818854,2020yCat.1350....0G,0.5207,0.019099999219179153,2020yCat.1350....0G,-2.262,-1.064,3.0,2020yCat.1350....0G,-42.54,,2008AJ....135.2264G,Gaia EDR3 573941672382349952|TIC 461601331|2MASS J00463856+8516208|Cl* NGC  188    DGV     739|Cl* NGC  188    PKM    4983|Cl* NGC  188    UMK     129|Cl* NGC  188    SMV    7562|NGC   188  1037|Cl* NGC  188    FTS     150|Gaia DR2 573941672382349952,573941672382349952,573941672382349952,461601331
Cl* NGC 188 PKM 4038,4924096,2004PASP..116.1012S,9.96160947296,85.27408787861,2020yCat.1350....0G,0.5069,0.03220000118017197,2020yCat.1350....0G,-2.11,-1.113,3.0,2020yCat.1350....0G,-42.54,,2008AJ....135.2264G,Gaia EDR3 573954144967363328|TIC 461599292|Cl* NGC  188    PKM    4038|Cl* NGC  188    SMV    4674|2MASS J00395090+8516265|Gaia DR2 573954144967363328,573954144967363328,573954144967363328,461599292
Cl* NGC 188 PKM 3935,4924364,2004PASP..116.1012S,10.269636809629999,85.37298858821,2020yCat.1350....0G,0.6464,0.03060000017285347,2020yCat.1350....0G,-2.27,-0.616,3.0,2020yCat.1350....0G,-43.44,,2008AJ....135.2264G,Gaia EDR3 573956172191890176|TIC 461599383|Cl* NGC  188    PKM    3935|Cl* NGC  188    SMV    5172|2MASS J00410481+8522226|Gaia DR2 573956172191890176,573956172191890176,573956172191890176,461599383
Cl* NGC 188 PKM 4185,4924520,2004PASP..116.1012S,10.461520348539999,85.40075428713,2020yCat.1350....0G,0.5163,0.03579999879002571,2020yCat.1350....0G,-2.285,-1.103,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573956687587956096|TIC 461599402|Cl* NGC  188    PKM    4185|Cl* NGC  188    SMV    5485|2MASS J00415084+8524025|Gaia DR2 573956687587956096,573956687587956096,573956687587956096,461599402
Cl* NGC 188 PKM 4271,4924666,2004PASP..116.1012S,10.70717858187,85.29841544537,2020yCat.1350....0G,0.5584,0.04639999940991402,2020yCat.1350....0G,-2.512,-1.209,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573942703174482176|TIC 461599312|Cl* NGC  188    PKM    4271|Cl* NGC  188    SMV    5828|2MASS J00424976+8517541|Gaia DR2 573942703174482176,573942703174482176,573942703174482176,461599312
NGC 188 1109,303918,2004PASP..116.1012S,11.612951669439997,85.21486704927,2020yCat.1350....0G,0.568,0.03240000084042549,2020yCat.1350....0G,-2.379,-0.6,3.0,2020yCat.1350....0G,-42.94,,2008AJ....135.2264G,Gaia EDR3 573940912172215552|TIC 461601184|2MASS J00462706+8512534|Cl* NGC  188    PKM    4699|Cl* NGC  188    SMV    7457|GEN# +2.01881109|NGC   188  1109|UBV M  29972|Cl* NGC  188    FTS     289|Gaia DR2 573940912172215552,573940912172215552,573940912172215552,461601184
Cl* NGC 188 PKM 879,4924264,2004PASP..116.1012S,10.08434661113,85.4937764745,2020yCat.1350....0G,0.5724,0.031099999323487282,2020yCat.1350....0G,-2.313,-1.043,3.0,2020yCat.1350....0G,-41.44,,2008AJ....135.2264G,Gaia EDR3 573980636325570560|TIC 461599451|Cl* NGC  188    PKM     879|Cl* NGC  188    SMV    4988|2MASS J00402035+8529375|Gaia DR2 573980636325570560,573980636325570560,573980636325570560,461599451
Cl* NGC 188 PKM 5814,4924518,2004PASP..116.1012S,10.44216722564,85.44971737464,2020yCat.1350....0G,0.465,0.04690000042319298,2020yCat.1350....0G,-2.125,-1.236,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573956855089661952|TIC 461599425|Cl* NGC  188    PKM    5814|Cl* NGC  188    SMV    5478|2MASS J00414609+8526589|Gaia DR2 573956855089661952,573956855089661952,573956855089661952,461599425
