H,H_error,J,J_error,K,K_error,source_id,twomass_id,g,g_error,r,r_error,i,i_error,z,z_error,yMeanPSFMag,yMeanPSFMagErr,panstarrs1_id,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,G,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,BP,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,RP,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,TIC,BP_error,RP_error,G_error,E(B_V),A_G,A_BP,A_RP,A_g,A_r,A_i,A_z,A_y,A_J,A_H,A_K,BP-RP,BP-RP_error,G_abs,G_abs_error,g-r,g-r_error,g_abs,g_abs_error,outlier
11.44,0.032,11.925,0.027,11.381,0.024,573936174824230912,00423539+8513256,14.0,0.005628,13.456,-999.0,13.182,-999.0,13.006,0.004617,12.9471,0.004697,2.1026010647566938e+17,1636148068921376768,Gaia DR3 573936174824230912,1501236193,2016.0,10.647214094374984,0.009873794,85.22379356864786,0.009715788,0.5090344671534074,0.010552585,48.237892,2.5170202,-2.303422933949113,0.013040208,-1.0147086484560592,0.012302301,-0.038128633,0.026934301,-0.27750146,0.0067883264,-0.06287227,0.047507644,0.109774426,-0.10181518,0.100989684,0.048316084,334,0,334,0,-0.5654669,317.39594,0.0,0.0,31,false,1.4838163,,,,,,,,39,26,0.018443651,46,16,0,0.020385427,86.46789,0,0,0.97703147,0.030183574,0.019492537,0.09453682,0.1500643,-102.896484,58.461636,52.775974,20.15765,false,358,83447.92474644417,32.78325,2545.444,13.383828,40,38411.202532411,54.255424,707.9698,13.877398,39,63832.63362962106,70.827934,901.2353,12.735289,1.2252412,0,1,0,0,0,1.1421089,0.49356937,0.64853954,-39.460705,1.6629751,2,20,4,17,11.878966,,,978.13153,,4750.0,3.0,0.0,111,,,,12.511523,0.025896445,16,,NOT_AVAILABLE,122.73279759934458,22.355465227948432,78.72651643820866,65.25460251472072,false,false,0,true,true,false,false,false,true,true,false,1.0222068e-13,5.105872e-13,0.99998033,4876.5347,4867.147,4882.798,3.0101,2.9939,3.0302,-0.2525,-0.2551,-0.2434,1792.3871,1751.7795,1824.9952,0.095,0.0865,0.1009,0.0754,0.0686,0.0801,0.0399,0.0363,0.0424,MARCS,461599242.0,0.0015335911,0.00120472,0.000426541,0.116505615,0.29629484,0.38384366,0.22476768,1.270587,0.9451752,0.71186095,0.5594483,0.45615444,0.2862974,0.1693875,0.10928926,0.9830330245819088,0.0019501928,1.621269110701397,0.04501792671544571,0.21858788,999.0,1.2631489814232149,0.04536635505701248,-1
11.203,0.033,11.69,0.027,11.078,0.022,573938236408558464,00485910+8512294,14.0821,0.00397,13.3112,0.00419,13.0153,0.002691,12.8815,0.000388,12.793,0.005605,2.102501224615507e+17,1636148068921376768,Gaia DR3 573938236408558464,563417639,2016.0,12.246093182254661,0.010075513,85.20822262332017,0.009048082,0.5231166600627769,0.010453983,50.039936,2.3947585,-2.1594942567183244,0.012571626,-1.0351101278047325,0.011544566,0.041207492,-0.056338713,-0.23978949,-0.034281626,-0.086013466,-0.006719851,-0.019789694,-0.030103128,0.1436749,0.10382724,340,0,340,0,-0.18255901,331.1071,0.0,0.0,31,false,1.456662,,,,,,,,39,25,0.017969921,46,17,0,0.019865837,83.76061,0,0,0.9919629,0.15083373,0.0925791,0.05151976,0.1358619,11.841688,-15.064287,56.040703,15.5988,false,372,86620.5674141454,9.520834,9098.002,13.343314,44,37267.13369633302,25.421299,1465.9807,13.910227,43,69972.25244432343,32.711853,2139.0488,12.635581,1.238036,0,0,0,0,0,1.2746458,0.56691265,0.70773315,-40.623898,1.1176083,2,24,9,19,15.054657,,,978.1314,,4750.0,3.0,0.0,222,,,,12.337773,0.033842973,15,,NOT_AVAILABLE,122.8765253342596,22.336736522244088,78.80955727189051,65.1249563144509,false,false,0,true,true,false,false,false,false,true,false,1.02166736e-13,5.103177e-13,0.99998575,4965.7144,4952.657,4971.306,3.1167,3.0793,3.1323,0.0742,0.0723,0.0759,1943.6245,1910.203,2025.2416,0.3543,0.3393,0.3597,0.2765,0.2647,0.2808,0.1447,0.1385,0.147,PHOENIX,461618648.0,0.00074062106,0.00050757895,0.00011933787,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,1.0971449175796515,0.0008978619,1.605693293524583,0.04339495199761828,0.40779686,0.0057720877,1.2573387373321854,0.04357600849788794,-1
12.233,0.03,12.708,0.027,12.111,0.024,573939713877301120,00513701+8513440,14.8495,0.004713,14.1693,0.002905,13.9289,0.001286,13.818,0.001464,13.7495,0.003497,2.1027012904324554e+17,1636148068921376768,Gaia DR3 573939713877301120,759835815,2016.0,12.904041078154892,0.014003678,85.22891962336598,0.013835963,0.510568082073719,0.014660269,34.826653,2.357742,-1.8926040060552856,0.017119084,-1.4060575232626062,0.01767959,-0.010616213,-0.1259143,-0.40291426,-0.007474162,0.04241048,0.018837245,-0.08609285,0.07664927,0.05803526,0.05056722,308,0,307,1,0.52005684,317.27795,0.014557265,0.0967411,31,false,1.4761717,,,,,,,,35,24,0.025116498,42,17,0,0.030397542,81.60338,0,0,1.020124,0.07491805,0.066699885,0.09085769,0.16825825,15.249489,-88.01666,-59.599686,26.33639,false,350,38998.76395884907,6.1278095,6364.226,14.20974,40,17632.237929960942,21.604483,816.13794,14.722774,40,30149.56993581921,15.186771,1985.2521,13.549693,1.2252134,0,2,0,1,0,1.1730804,0.51303387,0.6600466,-40.948277,3.843374,2,15,3,13,5.4655375,,,847.84094,,4750.0,1.5,-0.5,111,,,,13.350712,0.10345785,12,,NOT_AVAILABLE,122.93592761065358,22.35717101035427,78.90526955986128,65.08238183700706,false,false,0,true,true,false,false,false,true,true,false,1.0228201e-13,5.1089347e-13,0.9999743,4740.776,4733.741,4747.034,3.0279,3.0092,3.0461,-0.1715,-0.1746,-0.1686,2467.025,2413.802,2525.6758,0.0272,0.0196,0.0336,0.0213,0.0154,0.0264,0.0112,0.0081,0.0139,MARCS,461618685.0,0.0013303342,0.0005469009,0.00017059989,0.099999994,0.25431806,0.32946366,0.19292434,1.0905799,0.81127,0.61100996,0.48018995,0.39152998,0.24573699,0.14538999,0.09380599,1.036541674881935,0.0014383636,2.4956902495052224,0.062351111883855406,0.40088975,0.00553637,2.299188143086613,0.06252874871622666,-1
12.084,0.033,12.538,0.027,11.976,0.025,573939885675971712,00493302+8515166,14.6665,0.001915,13.9981,0.002335,13.7511,0.003885,13.6402,0.001487,13.5839,0.004317,2.1030012387792637e+17,1636148068921376768,Gaia DR3 573939885675971712,427737511,2016.0,12.387478511387602,0.012819494,85.2546286222897,0.012143528,0.5357805573361158,0.013355425,40.117073,2.3190134,-2.2519752607309385,0.01640252,-0.5535614882483836,0.016752783,0.022035444,-0.083314255,-0.34155923,0.076024786,-0.103256956,0.07223995,0.060719583,0.058945406,-0.020080263,0.03959299,317,0,317,0,0.12689114,316.343,0.0,0.0,31,false,1.4789001,,,,,,,,37,24,0.023556938,46,17,0,0.013582869,88.24937,0,0,1.004014,0.11680077,0.051045146,0.037605505,0.22945482,25.9887,-49.71866,54.916153,20.50708,false,362,45966.91129512238,7.4585414,6162.9893,14.031254,38,20908.556081019633,19.321943,1082.1145,14.537732,33,35385.24538004284,26.972977,1311.8777,13.37584,1.2246592,0,0,0,0,0,1.1618919,0.5064783,0.6554136,-40.17903,2.2696755,2,19,9,17,7.446632,,,809.5339,,4750.0,2.5,0.0,111,,,,13.052328,0.09163764,10,,NOT_AVAILABLE,122.88969127965157,22.383033427306298,78.92219425658163,65.13184149321067,false,false,0,true,true,false,false,false,false,true,false,1.02246465e-13,5.107159e-13,0.9999778,,,,,,,,,,,,,,,,,,,,,,,461618735.0,0.0010033469,0.00082762,0.00017617039,0.12,0.30518168,0.3953564,0.23150921,1.3086959,0.97352403,0.73321193,0.57622796,0.46983597,0.29488438,0.174468,0.112567194,0.998044821779251,0.0013006382,2.371007066240259,0.05412867261282917,0.33322793,0.0030198428,2.0027389275416807,0.05416225058121127,-1
11.7,0.03,12.234,0.029,11.567,0.023,573940813388946176,00473222+8511024,14.4942,0.000532,13.774,0.001983,13.4981,0.001527,13.3824,0.005021,13.297,0.002209,2.1022011884276163e+17,1636148068921376768,Gaia DR3 573940813388946176,1039221391,2016.0,11.884095363105914,0.011907224,85.1840338135553,0.010549498,0.49856814394289517,0.012132235,41.0945,2.6054428,-2.372833154359833,0.014652417,-1.076101798331882,0.013113477,-0.019212868,0.014594582,-0.28403944,0.016917692,-0.04268088,0.047485027,0.01799012,-0.07568427,0.11628823,0.06831693,334,9,333,1,0.50802046,340.494,0.0,0.0,31,false,1.4651682,,,,,,,,38,24,0.020794962,44,16,0,0.023365868,88.36597,0,0,1.0188775,,,,,,,,,false,359,56739.93121375962,7.985101,7105.7246,13.802645,42,24949.406242315265,21.637108,1153.0841,14.345892,39,44977.84581921169,35.714226,1259.3818,13.115398,1.232417,0,1,0,1,0,1.2304935,0.5432472,0.6872463,-42.74554,1.8990619,2,22,7,19,10.015226,,,978.1314,,4750.0,1.5,-0.5,111,,,,12.835166,0.0365892,15,,NOT_AVAILABLE,122.8434075242502,22.31295434822493,78.72896280960124,65.14381475711242,false,false,0,true,true,false,false,false,false,true,false,1.02152926e-13,5.1024874e-13,0.99998707,,,,,,,,,,,,,,,,,,,,,,,461601127.0,0.00094159326,0.0008621184,0.0001527974,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,1.0529929175796493,0.0012766542,1.960654164726157,0.052841170667990614,0.35709667,0.0020531227,1.5650684467905949,0.052843627756804,-1
11.676,0.029,12.167,0.027,11.551,0.021,573941053907094144,00452260+8512381,14.3779,0.008363,13.7163,0.003823,13.482,-999.0,13.3117,0.008028,13.2444,0.010921,2.1025011344286355e+17,1636148068921376768,Gaia DR3 573941053907094144,180946197,2016.0,11.344002573466964,0.011753017,85.21063508768886,0.011289246,0.5008590359942713,0.012501607,40.063572,2.5008993,-2.3001368666595035,0.014377156,-0.9817678577025158,0.013425967,0.06251232,-0.08970508,-0.22619273,-0.0018278323,-0.17871967,0.024109304,0.115354635,-0.04708635,0.009975331,0.095512666,305,0,305,0,-0.3161695,292.55176,0.0,0.0,31,false,1.4774004,,,,,,,,35,23,0.020532401,42,16,0,0.0245148,70.82639,0,0,0.9860141,0.05677088,0.071247384,0.09352985,0.19085228,-1.8750323,-30.750425,59.285557,21.115438,false,336,58451.82575607212,160.72145,363.68402,13.770371,38,26856.748451887877,296.1627,90.68242,14.265908,38,45894.97098456543,418.77536,109.59329,13.093483,1.244644,0,0,0,1,0,1.1724253,0.4955368,0.67688847,-38.08926,9.152797,2,16,6,15,7.8798904,,,883.6213,,4750.0,3.5,-0.5,111,,,,12.6728945,0.046391588,10,,VARIABLE,122.79513625437164,22.340495132375484,78.74757889231552,65.19569180004895,false,false,0,true,true,false,true,false,true,true,false,1.02736226e-13,5.1316227e-13,0.9999293,5651.179,5633.938,5665.257,3.4838,3.4681,3.4932,-0.0696,-0.071,-0.0677,1809.2288,1791.0582,1841.7844,0.7021,0.6888,0.7143,0.5672,0.5561,0.5772,0.3025,0.2965,0.308,PHOENIX,461601177.0,0.011972952,0.009906959,0.0029853834,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,0.9949239175796496,0.015540251,1.9383351023047428,0.054282824600988086,0.2984972,0.009195385,1.458723755157754,0.054842066919018946,-1
11.786,0.032,12.283,0.025,11.698,0.023,573941122626558208,00454954+8514037,14.5688,0.004547,13.8469,0.001024,13.5764,0.002985,13.4486,0.003569,13.3727,0.002918,2.102801145680921e+17,1636148068921376768,Gaia DR3 573941122626558208,1309193992,2016.0,11.456211353606058,0.018035524,85.2343990600546,0.016652726,0.5100951265151349,0.018772185,27.172924,2.8841338,-2.8476827462894376,0.02251858,-0.45709013163698436,0.020249307,-0.01866012,0.03629703,-0.27191064,0.011649213,-0.043947052,0.05392425,0.04497786,-0.11317758,0.11779928,0.09773838,331,0,328,3,12.343946,748.8065,0.16041282,16.54401,31,false,1.4655895,,,,,,,,38,25,0.032133993,45,17,0,0.022327343,80.4892,0,0,1.5218918,0.079850726,0.053561553,0.11164187,0.13174616,-18.96687,-2.3723106,-57.497036,16.097902,false,343,52852.474333454986,8.257109,6400.845,13.8797035,43,23263.069557498882,25.396074,916.01044,14.421875,42,41926.61968004958,19.648884,2133.7915,13.19167,1.2334274,0,1,0,0,0,1.2302046,0.5421715,0.6880331,-38.140137,1.7465764,2,20,8,17,8.460312,,,814.8354,,4750.0,2.0,-0.5,111,,,,12.819299,0.083945826,12,,NOT_AVAILABLE,122.80586760941954,22.36402292072448,78.80844707419458,65.19577228578913,false,false,0,true,true,false,false,false,false,true,false,1.02143066e-13,5.1019947e-13,0.9999881,4854.216,4837.382,4888.986,3.3744,3.1629,3.4833,-0.0436,-0.0811,-0.0265,1385.9353,1231.716,1749.1573,0.1598,0.1468,0.1852,0.1248,0.1146,0.1449,0.0655,0.0601,0.0761,PHOENIX,461601226.0,0.0011852881,0.00050882954,0.00016962389,0.11469765,0.29169688,0.37788707,0.2212797,1.2508696,0.93050766,0.70081407,0.55076665,0.4490757,0.28185457,0.16675891,0.107593276,1.0735976254510877,0.0012898897,2.126262495066815,0.07991327327308588,0.401538,0.0046608783,1.8561862121211825,0.08004234929907846,-1
11.149,0.032,11.709,0.032,11.024,0.026,573941603662882944,00453697+8515084,14.0865,0.004463,13.329,-999.0,13.029,-999.0,12.869,-999.0,12.7895,0.00146,2.1030011404200368e+17,1636148068921376768,Gaia DR3 573941603662882944,1724601657,2016.0,11.403735814659788,0.01010922,85.25238992550621,0.00949672,0.485796338207582,0.010648752,45.620026,2.6320972,-2.407498229499101,0.012990368,-1.0639023325261168,0.011404681,-0.06341419,0.031734228,-0.22540724,0.0008927933,-0.077879556,0.043268003,0.061373204,-0.12219895,0.10555845,0.04881796,332,9,329,3,0.9244707,348.59103,0.0,0.0,31,false,1.454889,,,,,,,,38,25,0.018248156,44,17,0,0.018417472,82.45831,0,0,1.0354946,,,,,,,,,false,346,86286.63265659226,10.6571665,8096.583,13.347508,40,36909.780658265445,22.341183,1652.0961,13.920689,40,70143.16224291718,31.81443,2204.7593,12.632932,1.2406666,0,0,0,0,0,1.2877569,0.5731802,0.7145767,-43.90383,1.650448,2,13,6,12,10.419237,,,814.8354,,4500.0,2.0,-0.5,111,,,,12.312395,0.0459781,7,,NOT_AVAILABLE,122.80163043566327,22.38211307544474,78.84449382472593,65.20645004059874,false,false,0,true,true,false,false,false,false,true,false,1.0219158e-13,5.104418e-13,0.99998325,,,,,,,,,,,,,,,,,,,,,,,461601281.0,0.0006571871,0.00049245113,0.00013409808,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,1.11025591757965,0.0008212204,1.4491657203586583,0.04759929393315042,0.39439678,999.0,1.1010174174621592,0.04780787771033107,-1
11.526,0.03,12.072,0.025,11.496,0.018,573956069112687488,00422316+8520336,14.3082,0.000825,13.6186,0.001076,13.317,-999.0,13.2156,0.001246,13.13,0.006191,2.1041010596450205e+17,1636148068921376768,Gaia DR3 573956069112687488,772930164,2016.0,10.596033190778423,0.01009022,85.34270644577998,0.010152372,0.5044366705840557,0.01072719,47.024117,2.6237514,-2.3412525831281963,0.013160694,-1.184317631926587,0.012727242,-0.07974358,0.07193137,-0.3167551,0.028206024,0.055266194,0.033994384,0.044475645,0.0059026834,0.09048191,-0.050898165,371,0,369,2,-1.1265011,334.00378,0.0,0.0,31,false,1.4693907,,,,,,,,43,26,0.0187534,49,18,0,0.019578902,82.55365,0,0,0.9576382,0.023463134,0.07586219,0.05341489,0.10699974,-137.50313,65.60979,53.737396,24.191275,false,415,65193.73709071005,7.994012,8155.3213,13.651853,43,29000.12260456979,22.036293,1316.0164,14.182543,44,51365.919799703355,24.925695,2060.7617,12.971208,1.2327265,0,1,1,0,0,1.2113352,0.5306902,0.680645,-43.40823,2.07925,2,20,3,19,9.307252,,,978.0576,,4750.0,1.5,-0.5,111,,,,12.642615,0.065747775,17,,NOT_AVAILABLE,122.73308386359254,22.474452251653027,78.98874188607194,65.30076421753252,false,false,0,true,true,false,false,false,false,true,false,1.0211284e-13,5.100485e-13,0.99999106,,,,,,,,,,,,,,,,,,,,,,,461599359.0,0.0008250172,0.0005268616,0.00013313224,0.089999996,0.22888626,0.29651728,0.1736319,0.98152196,0.730143,0.54990894,0.432171,0.35237697,0.22116329,0.13085099,0.0844254,1.088449623785019,0.0009788956,1.936999991259646,0.04617803741012843,0.43822104,0.0013558764,1.8407111712761646,0.0461852145152747,-1
