EDR3 id,TIC,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,labels
573942325217383424,461601298.0,573942325217383424,11.191133051737133,0.01809821,85.25672905685813,0.01726078,0.5408679810078375,0.01893532,28.56397,-2.177774594320734,0.02297125,-1.0988631852352406,0.0221008,3
573982010715088256,461597588.0,573982010715088256,9.743074043043377,0.021042623,85.55991152252045,0.021724874,0.5191364002120364,0.023202227,22.37442,-2.2499657238595963,0.026321132,-1.110453814955609,0.029438945,3
573935899946338816,461599220.0,573935899946338816,10.97747209685696,0.0409879,85.20510845002178,0.036028508,0.4784907659433255,0.040391885,11.8462105,-2.3675616719428976,0.04982658,-1.0206340769643665,0.04486491,3
573941942962994176,461601256.0,573941942962994176,11.164032343345868,0.08390732,85.24284532122724,0.07841682,0.6603061837169018,0.08533855,7.73749,-2.1106005942459216,0.10409219,-1.0574471300551802,0.09573722,3
573944215002950144,461601456.0,573944215002950144,11.15131406875422,0.015922975,85.35276522526146,0.015524389,0.5443118055339535,0.016905272,32.197754,-2.3866592628793497,0.021962758,-0.9800115862996752,0.019396774,3
573944627319805696,461601471.0,573944627319805696,11.31571262229765,0.028492281,85.3691671606081,0.028650297,0.5723338315260715,0.03060679,18.69957,-2.347438209493641,0.03869046,-1.0333293570121933,0.035611752,3
573944008844539264,461601400.0,573944008844539264,11.32750166716479,0.036359306,85.31028281397404,0.03392338,0.5719062347667727,0.038003713,15.048694,-2.727871674986033,0.04556705,-0.7401975978551972,0.040836047,3
573955141399748608,461597473.0,573955141399748608,9.640206434023812,0.01930109,85.33526355072419,0.02040092,0.4860266228215063,0.020902399,23.252193,-2.4340760830201518,0.023722216,-1.2329924517976554,0.029556427,3
573956069112683392,461599366.0,573956069112683392,10.398262649115896,0.024671359,85.35135052415019,0.025017407,0.6062615111352038,0.026207265,23.133337,-2.4265167749616605,0.033015963,-0.952569481342104,0.032237634,3
573942015979736064,461601300.0,573942015979736064,11.017916481716544,0.06900235,85.25736512460567,0.06709489,0.6421636211889484,0.072016984,8.916836,-2.5082845812343915,0.08555701,-0.8169771966552618,0.08074347,3
573935792569787904,461599192.0,573935792569787904,10.686491177388298,0.04158111,85.18337670674322,0.040230736,0.5767533698191426,0.04373889,13.186282,-2.2828787763576943,0.052727815,-1.0934796248433505,0.050231043,3
573944215002952704,461601453.0,573944215002952704,11.124641095385172,0.025764309,85.34855452749912,0.025316281,0.4976708768288951,0.027202895,18.294775,-2.4094680573063494,0.034067065,-0.8615906935095914,0.031372435,3
573941053907095936,461601172.0,573941053907095936,11.340996696464565,0.02958356,85.20740612116707,0.02840339,0.5214367834456494,0.031253014,16.684366,-2.307104145664073,0.035538133,-1.2557282795712368,0.033810146,3
573935934306074496,461599222.0,573935934306074496,10.791706338358493,0.018657085,85.20672128031427,0.017564567,0.5396921591025375,0.019199397,28.109848,-2.218217092774699,0.024357133,-1.105717029617358,0.022177178,3
573935934306650112,461599210.0,573935934306650112,10.877912002916124,0.04330581,85.1957753085343,0.041469805,0.5065838173167403,0.04609315,10.990436,-2.3126689251624923,0.05617571,-1.07876715049308,0.051944673,3
573941083970904448,461601178.0,573941083970904448,11.408930707484496,0.09239471,85.2119252897152,0.08345034,0.6295943038915707,0.094026454,6.695927,-2.408983134025428,0.10968657,-1.1270034379535978,0.097833194,3
573941603662878080,461601306.0,573941603662878080,11.424409705604306,0.045386247,85.25984117687364,0.042724974,0.5484532851513068,0.047687866,11.500897,-2.565170931717561,0.058241624,-0.937406878403553,0.051109057,3
573955691155545600,461597495.0,573955691155545600,9.664481720161051,0.020796787,85.38002349941958,0.020767165,0.5218078559312319,0.022308242,23.390812,-2.3718565314317184,0.027832849,-1.1167650348837608,0.028235277,3
573942359577117696,461601321.0,573942359577117696,11.217276146266151,0.024979884,85.26512806954729,0.02504853,0.5218159342469086,0.02717695,19.20068,-2.24342742364376,0.031475604,-1.2108425879551956,0.029683633,3
573968228163024128,461601507.0,573968228163024128,11.293608467344448,0.034020305,85.41396530145731,0.033340164,0.5081673230734104,0.0356769,14.243594,-2.123360628300116,0.042741857,-1.0359242979553749,0.040166605,3
573941672382349952,461601331.0,573941672382349952,11.660471920233435,0.019168483,85.27248346028634,0.017206764,0.5207485875966348,0.019058475,27.323729,-2.2623854299719026,0.024596447,-1.0638601994385846,0.021669129,3
573954144967363328,461599292.0,573954144967363328,9.961495647529746,0.029755106,85.27408293035333,0.029431578,0.5068888481323959,0.03215713,15.762875,-2.1100476063310096,0.037964195,-1.1133593651854978,0.040274438,3
573956172191890176,461599383.0,573956172191890176,10.269511768221008,0.02894143,85.37298585146578,0.028538572,0.6464187640421736,0.030551827,21.158106,-2.26956249567302,0.037870474,-0.6157700528583936,0.037684783,3
573956687587956096,461599402.0,573956687587956096,10.461393684844802,0.03426796,85.40074938542195,0.03367249,0.5162578599838126,0.035768803,14.4331875,-2.285241724892477,0.04485223,-1.1028877551356664,0.043054976,3
573942703174482176,461599312.0,573942703174482176,10.707042367323858,0.04404895,85.29841007185512,0.04309842,0.5583894609311362,0.046396088,12.035271,-2.512118431747138,0.051658425,-1.2090444487628889,0.05194556,3
573940912172215552,461601184.0,573940912172215552,11.612824939502753,0.03241036,85.21486438252275,0.02789538,0.5680292694051097,0.032372482,17.546669,-2.378636839066006,0.03929019,-0.6000212176168528,0.034506675,3
